date, Unemployment Rate (%), Annual Change,
12/31/1991,0.669,,
12/31/1992,0.683,0.01,
12/31/1993,0.637,-0.05,
12/31/1994,0.645,0.01,
12/31/1995,0.647,0,
12/31/1996,0.64,-0.01,
12/31/1997,0.61,-0.03,
12/31/1998,0.613,0,
12/31/1999,0.614,0,
12/31/2000,0.611,0,
12/31/2001,0.6,-0.01,
12/31/2002,0.587,-0.01, 
12/31/2003,0.6,0.01, 
12/31/2004,0.604,0,
12/31/2005,0.591,-0.01,
12/31/2006,0.58,-0.01,
12/31/2007,0.4,-0.18,
12/31/2008,0.42,0.02,
12/31/2009,0.54,0.12,
12/31/2010,0.65,0.11,
12/31/2011,0.8,0.15,
12/31/2012,1.864,1.06,
12/31/2013,2.95,1.09,
12/31/2014,1.83,-1.12,
12/31/2015,3.57,1.74,
12/31/2016,3.756,0.19,
12/31/2017,3.913,0.16,
12/31/2018,4.08,0.17,
12/31/2019,4.83,0.75,
12/31/2020,6.55,1.72,
12/31/2021,6.34,-0.21,
12/31/2022,6.416,0.08,
12/31/2023,6.5,0.084,
